[2023-03-20 14:59:09] WeeChat 3.8 (compiled on Jan  8 2023 12:25:25)
[2023-03-20 14:59:09] Reading configuration file sec.conf
[2023-03-20 14:59:09] Reading configuration file weechat.conf
[2023-03-20 14:59:09] Reading configuration file plugins.conf
[2023-03-20 14:59:10] Reading configuration file charset.conf
[2023-03-20 14:59:10] Reading configuration file logger.conf
[2023-03-20 14:59:10] Reading configuration file exec.conf
[2023-03-20 14:59:10] Reading configuration file trigger.conf
[2023-03-20 14:59:10] Reading configuration file spell.conf
[2023-03-20 14:59:10] Reading configuration file alias.conf
[2023-03-20 14:59:10] Reading configuration file buflist.conf
[2023-03-20 14:59:10] Reading configuration file fifo.conf
[2023-03-20 14:59:10] Reading configuration file typing.conf
[2023-03-20 14:59:10] Reading configuration file xfer.conf
[2023-03-20 14:59:10] Reading configuration file irc.conf
[2023-03-20 14:59:10] Reading configuration file relay.conf
[2023-03-20 14:59:10] Reading configuration file lua.conf
[2023-03-20 14:59:10] Reading configuration file perl.conf
[2023-03-20 14:59:10] Reading configuration file python.conf
[2023-03-20 14:59:10] Reading configuration file ruby.conf
[2023-03-20 14:59:10] Reading configuration file tcl.conf
[2023-03-20 14:59:10] Reading configuration file script.conf
[2023-03-20 14:59:10] Reading configuration file fset.conf
[2023-03-20 14:59:25] irc: connecting to server 127.0.0.1/8080...
[2023-03-20 15:16:16] irc: connecting to server 127.0.0.1/8080...
[2023-03-20 15:16:36] irc: connecting to server 127.0.0.1/8080...
[2023-03-20 15:17:36] irc: connecting to server 127.0.0.1/8080...
[2023-03-20 15:18:56] irc: connecting to server 127.0.0.1/8080...
[2023-03-20 15:21:36] irc: connecting to server 127.0.0.1/8080...
[2023-03-20 15:26:56] irc: connecting to server 127.0.0.1/8080...
[2023-03-20 15:45:08] irc: connecting to server 127.0.0.1/8080...
[2023-03-20 16:01:31] irc: connecting to server 127.0.0.1/8080...
[2023-03-20 16:18:22] irc: connecting to server 127.0.0.1/8080...
[2023-03-20 16:32:22] irc: connecting to server 127.0.0.1/8080...
[2023-03-20 16:51:15] irc: connecting to server 127.0.0.1/8080...
[2023-03-20 17:05:48] irc: connecting to server 127.0.0.1/8080...
[2023-03-20 17:15:48] irc: connecting to server 127.0.0.1/8080...
[2023-03-20 17:20:36] irc: connecting to server 127.0.0.1/8080...
[2023-03-20 17:21:20] irc: connecting to server 127.0.0.1/8080...
[2023-03-20 17:21:39] irc: connecting to server 127.0.0.1/8080...
[2023-03-20 17:22:13] irc: connecting to server 127.0.0.1/8080...
[2023-03-20 17:22:33] irc: connecting to server 127.0.0.1/8080...
[2023-03-20 17:23:13] irc: connecting to server 127.0.0.1/8080...
[2023-03-20 17:24:33] irc: connecting to server 127.0.0.1/8080...
[2023-03-20 17:27:13] irc: connecting to server 127.0.0.1/8080...
[2023-03-20 17:28:44] irc: connecting to server 127.0.0.1/8080...
[2023-03-20 17:29:28] irc: connecting to server 127.0.0.1/8080...
[2023-03-20 17:29:48] irc: connecting to server 127.0.0.1/8080...
